8b18ff6e:00000000:00000000000067D6     BackHotspotControl
8b18ff6e:00000000:000000000000261E     BellyHotspotControl
8b18ff6e:00000000:0000000000002081     BodyHotspotControl
8b18ff6e:00000000:0000000000006658     BrowMicroHotspotControl
8b18ff6e:00000000:0000000000003357     BrowsMacroHotspotControl
8b18ff6e:00000000:0000000000003358     BrowsRotateMacroHotspotControl
8b18ff6e:00000000:000000000000E310     BrowsRotateOutsideMacroHotspotControl
8b18ff6e:00000000:0000000000002619     ButtHotspotControl
8b18ff6e:00000000:0000000000002076     CheekBoneHotspotControl
8b18ff6e:00000000:0000000000006A2A     CheekBoneHotspotControl_Micro
8b18ff6e:00000000:0000000000002077     CheeksHotspotControl
8b18ff6e:00000000:0000000000006A2B     CheeksHotspotControl_Micro
8b18ff6e:00000000:00000000000023B7     ChestHotspotControl
8b18ff6e:00000000:0000000000001FFB     ChinHotspotControl
8b18ff6e:00000000:000000000000260C     ChinMicroHotspotControl
8b18ff6e:00000000:0000000000007684     cuBackHotspotControl
8b18ff6e:00000000:0000000000007685     cuBellyHotspotControl
8b18ff6e:00000000:0000000000005676     cuBodyHotspotControl
8b18ff6e:00000000:0000000000007686     cuBodyHotspotControl
8b18ff6e:00000000:0000000000006D46     cuBrowMicroHotspotControl
8b18ff6e:00000000:0000000000006D32     cuBrowsMacroHotspotControl
8b18ff6e:00000000:0000000000006D33     cuBrowsRotateMacroHotspotControl
8b18ff6e:00000000:000000000000E39C     cuBrowsRotateOutsideMacroHotspotControl
8b18ff6e:00000000:0000000000007688     cuButtHotspotControl
8b18ff6e:00000000:0000000000006D37     cuCheekBoneHotspotControl
8b18ff6e:00000000:0000000000006D47     cuCheekBoneHotspotControl_Micro
8b18ff6e:00000000:0000000000006D38     cuCheeksHotspotControl
8b18ff6e:00000000:0000000000006D48     cuCheeksHotspotControl_Micro
8b18ff6e:00000000:0000000000007689     cuChestHotspotControl
8b18ff6e:00000000:0000000000006D39     cuChinHotspotControl
8b18ff6e:00000000:0000000000006D4A     cuChinMicroHotspotControl
8b18ff6e:00000000:0000000000006D3B     cuEarsHotspotControl
8b18ff6e:00000000:0000000000006D4C     cuEarsHotspotControl_Micro
8b18ff6e:00000000:0000000000006D4E     cuEyesCaruncleHotspotControl
8b18ff6e:00000000:0000000000006D4F     cuEyesLidLowerHotspotControl
8b18ff6e:00000000:0000000000006D50     cuEyesLidUpperHotspotControl
8b18ff6e:00000000:0000000000006D51     cuEyesMicroHotspotControl
8b18ff6e:00000000:0000000000006D3C     cuEyeSocketHotspotControl
8b18ff6e:00000000:000000000000C6C7     cuEyesRotateMacroHotspotControl
8b18ff6e:00000000:0000000000006D53     cuEyesRotateScaleHotspotControl
8b18ff6e:00000000:0000000000006D3D     cuEyesRotateScaleMacroHotspotControl
8b18ff6e:00000000:000000000000768A     cuFeetHotspotControl
8b18ff6e:00000000:0000000000006D3E     cuForeheadHotspotControl
8b18ff6e:00000000:0000000000006D55     cuForeheadHotspotControl_Micro
8b18ff6e:00000000:0000000000006D40     cuHeadHotspotControl
8b18ff6e:00000000:000000000000768B     cuHipsHotspotControl
8b18ff6e:00000000:0000000000006D57     cuIrisMicroHotspotControl
8b18ff6e:00000000:0000000000006D41     cuJawHotspotControl
8b18ff6e:00000000:0000000000006D58     cuJawMicroHotspotControl
8b18ff6e:00000000:000000000000768E     cuLowerArmHotspotControl
8b18ff6e:00000000:0000000000005679     cuLowerBodyHotspotControl
8b18ff6e:00000000:0000000000007679     cuLowerBodyTopLevelHotspotControl
8b18ff6e:00000000:0000000000007682     cuLowerLegHotspotControl
8b18ff6e:00000000:0000000000006D59     cuLowerLipHotspotControl
8b18ff6e:00000000:000000000000E39D     cuMouthCornerHotspotControl
8b18ff6e:00000000:0000000000006D5A     cuMouthCurveHotspotControl
8b18ff6e:00000000:0000000000006D42     cuMouthHotspotControl
8b18ff6e:00000000:0000000000006D5B     cuNasionHotspotControl
8b18ff6e:00000000:0000000000007691     cuNeckHotspotControl
8b18ff6e:00000000:0000000000006D43     cuNoseBridgeMacroHotspotControl
8b18ff6e:00000000:0000000000006D44     cuNoseHotspotControl
8b18ff6e:00000000:0000000000006D45     cuNoseScaleHotspotControl
8b18ff6e:00000000:0000000000006D5C     cuNoseTipHotspotControl
8b18ff6e:00000000:0000000000006D5D     cuNoseWidthRotateHotspotControl
8b18ff6e:00000000:00000000000082F1     cuNostrilHoleMicroHotspotControl
8b18ff6e:00000000:0000000000006D5E     cuNostrilMicroHotspotControl
8b18ff6e:00000000:0000000000007694     cuShouldersHotspotControl
8b18ff6e:00000000:0000000000007683     cuThighHotspotControl
8b18ff6e:00000000:0000000000007696     cuUpperArmHotspotControl
8b18ff6e:00000000:000000000000567A     cuUpperBodyHotspotControl
8b18ff6e:00000000:000000000000767A     cuUpperBodyTopLevelHotspotControl
8b18ff6e:00000000:0000000000006D5F     cuUpperLipHotspotControl
8b18ff6e:00000000:0000000000007698     cuWaistHotspotControl
8b18ff6e:00000000:0000000000002078     EarsHotspotControl
8b18ff6e:00000000:0000000000006A2E     EarsHotspotControl_Micro
8b18ff6e:00000000:000000000000E6E7     efCheeksHotspotControl
8b18ff6e:00000000:000000000000E6EA     efCheeksHotspotControl_Micro
8b18ff6e:00000000:000000000000E6E8     emCheeksHotspotControl
8b18ff6e:00000000:000000000000E6E9     emCheeksHotspotControl_Micro
8b18ff6e:00000000:0000000000006655     EyesCaruncleHotspotControl
8b18ff6e:00000000:00000000000026F3     EyesLidLowerHotspotControl
8b18ff6e:00000000:00000000000026F2     EyesLidUpperHotspotControl
8b18ff6e:00000000:0000000000002611     EyesMicroHotspotControl
8b18ff6e:00000000:0000000000002079     EyeSocketHotspotControl
8b18ff6e:00000000:000000000000AF61     EyesRotateMacroHotspotControl
8b18ff6e:00000000:0000000000002159     EyesRotateScaleHotspotControl
8b18ff6e:00000000:000000000000277D     EyesRotateScaleMacroHotspotControl
8b18ff6e:00000000:0000000000005CB9     FeetHotspotControl
8b18ff6e:00000000:0000000000002029     ForeheadHotspotControl
