eaa32add:00000000:0000000000008101   cfbody_average
eaa32add:00000000:0000000000008100   cfbody_heavy
eaa32add:00000000:00000000000080FF   cfbody_lean
eaa32add:00000000:00000000000080C4   cmbody_average
eaa32add:00000000:00000000000080C3   cmbody_heavy
eaa32add:00000000:00000000000080C2   cmbody_lean
eaa32add:00000000:000000000000B481   yfbody_bodybuilder
eaa32add:00000000:000000000000E869   yfbody_default
eaa32add:00000000:000000000000B480   yfbody_heavysoft
eaa32add:00000000:00000000000064DA   yfbody_hourglass
eaa32add:00000000:00000000000064D8   yfbody_inverted
eaa32add:00000000:00000000000064DB   yfbody_pear
eaa32add:00000000:00000000000064D9   yfbody_rectangle
eaa32add:00000000:00000000000063B4   yfbody_thick
eaa32add:00000000:00000000000063B5   yfbody_thin
eaa32add:00000000:000000000000B482   ymbody_bodybuilder
eaa32add:00000000:000000000000E86A   ymbody_default
eaa32add:00000000:000000000000B483   ymbody_heavysoft
eaa32add:00000000:00000000000064D4   ymbody_inverted
eaa32add:00000000:00000000000063B8   ymbody_athletic
eaa32add:00000000:00000000000063B9   ymbody_thick
eaa32add:00000000:00000000000064D6   ymbody_trapazoid
eaa32add:00000000:00000000000064D7   ymbody_triangle
eaa32add:00000000:00000000000063BA   ymbody_thin
